EDI_WCA_680_20190130
eventcd	eventid	optionid	serialid	scexhid	actflag	changed	created	secid	issid	isin	uscode	issuername	cntryofincorp	sic	cik	indusid	sectycd	securitydesc	parvalue	pvcurrency	statusflag	primaryexchgcd	structcd	exchgcntry	exchgcd	mic	micseg	localcode	liststatus	date1type	date1	date2type	date2	date3type	date3	date4type	date4	date5type	date5	date6type	date6	date7type	date7	date8type	date8	date9type	date9	date10type	date10	date11type	date11	date12type	date12	paytype	rdid	priority	defaultopt	outturnsecid	outturnisin	ratioold	rationew	fractions	currency	rate1type	rate1	rate2type	rate2	field1name	field1	field2name	field2	field3name	field3	field4name	field4	field5name	field5	field6name	field6	field7name	field7	field8name	field8	field9name	field9	field10name	field10	field11name	field11	field12name	field12	field13name	field13	field14name	field14	field15name	field15	field16name	field16	field17name	field17	field18name	field18	field19name	field19	field20name	field20	field21name	field21	field22name	field22	field23name	field23	field24name	field24
AGM	815544	1	1	20032	U	2018/08/01 08:17:51	2018/06/13	19494	19070	SE0000163628		Elekta AB	SE	3845	0001451160	54	EQS	Ordinary Shares - Class B		SEK	A	SESSE		SE	SESSE	XSTO		EKTA B	L	AGMDate	2018/08/30	FYEDate	2018/04/30	RecDate	2018/08/24																						F											AGMEGM	AGM	AGMNo		AGMTime	14:00	Add1	at Moderna Museet	Add2		Add3		Add4		Add5		Add6		City	Stockholm.	CntryCD	SE																										
AGM	823577	1	1	52112	I	2018/08/16 14:08:18	2018/08/16	45808	41613	CA0019401052	001940105	ATS Automation Tooling Systems, Inc.	CA	3569	0001394832	66	EQS	Ordinary Shares		CAD	A	CATSE		CA	CATSE	XTSE		ATA	L	AGMDate	2018/08/16	FYEDate	2018/03/31	RecDate																							F											AGMEGM	AGM	AGMNo		AGMTime	10:00	Add1	TMX Broadcast Centre,	Add2	The Exchange Tower,	Add3	130 King Street West,	Add4	Ontario	Add5		Add6		City	Toronto	CntryCD	CA																										
AGM	824115	1	1	640315	I	2018/08/20 14:11:29	2018/08/20	489240	107086	US0080731088	008073108	AeroVironment Inc.	US	3721	0001368622	1	EQS	Ordinary Shares	0.0001	USD	A	USNASD		US	USNASD	XNAS	XNGS	AVAV	L	AGMDate	2018/09/28	FYEDate	2018/04/30	RecDate	2018/08/14																						F											AGMEGM	AGM	AGMNo		AGMTime	09:00	Add1	994 Innovators Way	Add2	Simi Valley, CA 93065	Add3		Add4		Add5		Add6		City		CntryCD	US																										
AGM	807905	1	1	6015	U	2018/08/22 08:37:40	2018/05/10	6016	5785	GB0007323586		Renishaw plc	GB	3545	0001584392	35	EQS	Ordinary Shares	0.20000	GBP	A	GBLSE		GB	GBLSE	XLON		RSW	L	AGMDate	2018/10/18	FYEDate	2018/06/30	RecDate																							F											AGMEGM	AGM	AGMNo		AGMTime	12:00:00	Add1	New Mills	Add2	Wotton-Under-Edge	Add3	Gloucestershire	Add4	GL12 8JR	Add5		Add6		City		CntryCD	GB																										
AGM	788375	1	1	3198679	U	2018/09/11 14:07:37	2018/03/13	2273712	142060	KYG014081064		Airtac International Group	TW			83	EQS	Ordinary Shares	10.00000	TWD	A	TWTSE		TW	TWTSE	XTAI		1590	L	AGMDate	2018/06/11	FYEDate	2017/12/31	RecDate	2018/04/12																						F											AGMEGM	AGM	AGMNo		AGMTime	09:00	Add1	No,63	Add2	Ta Hsueh Rd.,	Add3	Sansia District	Add4		Add5		Add6		City	New Taipei City	CntryCD	TW																										
AGM	829007	1	1	286570	I	2018/09/19 08:15:47	2018/09/19	193580	87078	FI0009013429		Cargotec Corporation	FI	3537	0001436741	86	EQS	Ordinary Shares - Class B		EUR	A	FIHSE		FI	FIHSE	XHEL		CGCBV	L	AGMDate	2019/03/19	FYEDate	2018/12/31	RecDate																							F											AGMEGM	AGM	AGMNo		AGMTime	:	Add1		Add2		Add3		Add4		Add5		Add6		City		CntryCD	FI																										
AGM	829460	1	1	20386	I	2018/09/24 14:17:59	2018/09/24	19848	19393	CH0012100191		Tecan Group AG	CH	8880	0001548253	54	EQS	Ordinary Shares	0.1	CHF	A	CHSSX		CH	CHSSX	XSWX		TECN	L	AGMDate	2019/04/16	FYEDate	2018/12/31	RecDate																							F											AGMEGM	AGM	AGMNo		AGMTime	:	Add1		Add2		Add3		Add4		Add5		Add6		City		CntryCD	CH																										
AGM	821462	1	1	5659706	U	2018/09/26 14:11:29	2018/08/02	3941711	153453	IL0011267213	M85548101	Stratasys Ltd	IL	3577	0001517396	35	EQS	Ordinary Shares	0.01	USD	A	USNASD		US	USNASD	XNAS	XNGS	SSYS	L	AGMDate	2018/10/04	FYEDate	2017/12/31	RecDate	2018/08/06																						F											AGMEGM	AGM	AGMNo		AGMTime	11:30	Add1	Meitar Liquornik Geva Leshem Tal,	Add2	16 Abba Hillel Road,	Add3	10 th floor,	Add4	5250608,	Add5		Add6		City	Ramat Gan	CntryCD	IL																										
AGM	830922	1	1	668577	I	2018/10/05 14:10:48	2018/10/05	513251	107569	US0043971052	004397105	Accuray Inc	US	3841	0001138723	53	EQS	Ordinary Shares	0.001	USD	A	USNASD		US	USNASD	XNAS	XNGS	ARAY	L	AGMDate	2018/11/16	FYEDate	2018/06/30	RecDate	2018/09/20																						F											AGMEGM	AGM	AGMNo		AGMTime	09:00	Add1	1310 Chesapeake Terrace,	Add2	California 94089	Add3		Add4		Add5		Add6		City	Sunnyvale,	CntryCD	US																										
AGM	834837	1	1	7383299	I	2018/11/01 17:30:40	2018/11/01	49647	45245	NL0012169213	N72482123	Qiagen NV	NL	2836	0001015820	10	EQS	Ordinary Shares	0.01	EUR	A	USNYSE		US	USNYSE	XNYS		QGEN	L	AGMDate	2018/06/19	FYEDate	2017/12/31	RecDate	2018/05/22																						F											AGMEGM	AGM	AGMNo		AGMTime	10:30	Add1	Maaspoort,	Add2	Oude Markt 30,	Add3	5911 HH Venlo,	Add4		Add5		Add6		City		CntryCD	NL																										
